,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,-0.21236277,-0.32034352,0.06479043,-0.09318165,-0.35468927,-0.2650557,-0.37621012,-0.050728597,-0.2681184,-0.34539202,-0.39615092,0.17332867,0.319514,-0.20252101,-0.16573562,-0.21742457,-0.14267313,0.2375528,0.10218052,-0.22986618,-0.16903262,0.53138965,-0.3891105,0.29029444,-0.20608827,-0.34642115,0.27453735,-0.42728767,0.5149382,0.108561344
1,0.7716292,0.46895874,0.04848742,0.1240482,-0.06704812,-0.1914107,0.63233227,0.19670615,0.26114517,0.04207895,0.39126837,-0.4902881,-0.22102417,-0.10606866,0.02182053,0.28583336,-0.15542655,0.044579465,-0.1761499,-0.04994601,0.4293516,-0.38725322,0.32323456,-0.41779613,0.5780985,0.46459803,-0.4927597,0.47524637,-0.5931896,0.6928758
2,-0.4434437,-0.0050184666,-0.3090865,0.5399534,-0.1999303,0.39195076,-0.16195105,0.04447922,-0.64880645,-0.27922386,0.45611748,-0.69106734,0.59501207,0.30680558,-0.03246298,-0.49852762,0.6492689,-0.12700231,-0.45071635,0.6650486,-0.35623008,0.23037507,-0.014754422,0.5355447,-0.51220393,-0.62479603,-0.8320151,-0.03956796,-0.21872763,-0.63964367
3,-0.35139728,0.17542513,-0.5061873,-0.45388785,-0.08648388,0.3902475,-0.14701173,0.03951954,0.42170927,-0.60060817,-0.0747072,-0.036081802,0.42625716,-0.49051374,-0.21901545,0.12818718,0.4934703,-0.26474178,-0.46830875,0.4885624,-0.45116258,0.35529342,-0.011228416,-0.3595092,-0.28488702,0.5267897,-0.11244801,0.38657737,0.27792713,-0.4699737
4,0.2039733,0.6778138,-0.1300861,0.2680675,-0.3037956,0.2275484,-0.041926596,0.12996624,0.2728011,-0.16686997,0.16840361,-0.5115533,0.066192344,-0.31638128,-0.25943837,0.35675374,-0.09934543,-0.23617628,0.08261454,0.060153954,0.01931709,0.3121499,0.34321877,-0.49914187,0.43435943,0.71351147,-0.530564,0.43219736,-0.20738278,0.50827605
5,0.22720331,0.73564684,-0.43214977,0.41318408,-0.31493223,0.17374136,-0.11115265,0.08968418,0.39887673,-0.15946396,0.17723505,-0.718677,-0.07101248,-0.5453714,-0.008268929,0.45709422,-0.08208186,0.109921694,0.1359574,0.085155025,-0.2799997,0.22230668,0.5478781,-0.34091735,-0.38632724,0.16249165,-0.9106756,0.22243562,-0.44985238,0.041410197
6,-0.51484877,0.42928147,-0.39593887,0.5545108,-0.32424325,0.23854113,-0.127117,-0.022526734,-0.27611983,0.05674694,-0.047434002,-0.76635814,0.27185762,0.3395546,0.05878939,-0.04731769,0.4893503,0.0013924382,0.06465162,0.32957304,-0.17686507,-0.15944323,0.2256131,0.43871433,-0.113250986,-0.63827294,-0.7984942,0.114903994,-0.1147582,-0.3118768
7,-0.57540715,-0.11368939,-0.27809978,-0.3308075,-0.42584908,0.08857243,-0.46674177,-0.016008573,-0.28067857,0.07941949,-0.10360781,0.15167746,0.32955745,0.15024652,-0.29050928,-0.26082978,0.09380349,0.23520279,0.19976099,0.037885994,-0.5108083,0.44342917,-0.25760058,0.36378258,-0.35756677,-0.28764114,0.2581752,-0.40344906,0.5250216,-0.0148999775
8,0.050099418,-0.02566445,-0.003125165,0.28567618,-0.39710715,-0.20026393,0.31211054,0.0321028,-0.20107007,0.55557257,0.06324898,-0.34257376,-0.12334686,0.07510995,-0.32761258,0.10855205,-0.2393698,0.35403684,0.026579244,-0.2504067,0.44867826,0.06544771,-0.27542955,0.16216089,0.42392436,-0.23090649,0.12998907,-0.084623285,0.033384643,0.21223229
9,0.27932847,-0.38643068,0.19697805,-0.11790868,0.30178484,0.08041227,-0.077210516,-0.28354126,-0.26647705,-0.33395076,-0.107546665,0.2861145,0.40751904,0.5933138,-0.11443135,-0.30574614,0.52991354,-0.15601583,-0.599953,0.53062624,-0.08961208,0.070717685,-0.13859181,0.41173586,0.30632704,-0.27893302,0.4004588,0.37326905,0.33070633,0.39678228
