sub_id,session,block,trial,left_stim_id,right_stim_id,left_pwin,right_pwin,chosen_stim_id,choice_side,reward,rt
53,0,0,0,80,83,0.35000000000000003,0.8,80,0,0,-4046.516750018469
53,0,0,1,80,82,0.35000000000000003,0.5,82,1,0,-4129.48819562817
53,0,0,2,79,83,0.6500000000000001,0.8,83,1,0,-4134.388456063239
53,0,0,3,80,83,0.35000000000000003,0.8,80,0,0,-4139.5953935221305
53,0,0,4,82,83,0.5,0.8,82,0,1,-4146.592414528766
53,0,0,5,79,80,0.6500000000000001,0.35000000000000003,79,0,1,-4152.393340686132
53,0,0,6,82,83,0.5,0.8,82,0,0,-4161.396661384922
53,0,0,7,80,81,0.35000000000000003,0.2,81,1,0,-4166.185853729279
53,0,0,8,79,81,0.6500000000000001,0.2,79,0,0,-4170.450339572455
53,0,0,9,80,83,0.35000000000000003,0.8,83,1,1,-4176.441564618398
53,0,0,10,79,83,0.6500000000000001,0.8,83,1,0,-4182.052965892213
53,0,0,11,82,83,0.5,0.8,82,0,1,-4184.233608270075
53,0,0,12,79,80,0.6500000000000001,0.35000000000000003,79,0,1,-4193.313846787263
53,0,0,13,82,83,0.5,0.8,83,1,1,-4198.150947137431
53,0,0,14,79,80,0.6500000000000001,0.35000000000000003,79,0,1,-4203.473135665359
53,0,0,15,79,81,0.6500000000000001,0.2,81,1,0,-4207.151097252344
53,0,0,16,80,83,0.35000000000000003,0.8,83,1,1,-4213.147183223113
53,0,0,17,82,83,0.5,0.8,83,1,0,-4215.919674159602
53,0,0,18,81,83,0.2,0.8,81,0,0,-4225.456306645798
53,0,0,19,80,82,0.35000000000000003,0.5,82,1,1,-4232.307136158803
53,0,0,20,80,82,0.35000000000000003,0.5,82,1,1,-4236.480175528696
53,0,1,0,85,86,0.6500000000000001,0.35000000000000003,86,1,0,-4264.696853684468
53,0,1,1,85,89,0.6500000000000001,0.5,85,0,1,-4271.949551272879
53,0,1,2,86,89,0.35000000000000003,0.5,89,1,1,-4275.732751817716
53,0,1,3,86,89,0.35000000000000003,0.5,89,1,1,-4281.705479071202
53,0,1,4,86,89,0.35000000000000003,0.5,89,1,0,-4286.833030782882
53,0,1,5,86,89,0.35000000000000003,0.5,86,0,0,-4291.250397135952
53,0,1,6,87,88,0.2,0.8,87,0,1,-4294.691677110701
53,0,1,7,87,88,0.2,0.8,87,0,0,-4300.037969104466
53,0,1,8,85,87,0.6500000000000001,0.2,87,1,1,-4306.871091670617
53,0,1,9,88,89,0.8,0.5,88,0,1,-4310.197047697977
53,0,1,10,87,88,0.2,0.8,88,1,1,-4316.132413717122
53,0,1,11,86,88,0.35000000000000003,0.8,88,1,1,-4322.367032717685
53,0,1,12,86,89,0.35000000000000003,0.5,89,1,0,-4326.9372227431
53,0,1,13,86,87,0.35000000000000003,0.2,87,1,1,-4336.376377689706
53,0,1,14,85,88,0.6500000000000001,0.8,88,1,0,-4340.454876078142
53,0,1,15,87,88,0.2,0.8,87,0,0,-4345.20609950938
53,0,1,16,87,88,0.2,0.8,88,1,1,-4350.807929258242
53,0,1,17,85,88,0.6500000000000001,0.8,88,1,1,-4353.304918305013
53,0,1,18,86,89,0.35000000000000003,0.5,86,0,0,-4356.9108670071055
53,0,2,0,92,94,0.2,0.5,94,1,0,-4389.311967006537
53,0,2,1,91,92,0.8,0.2,92,1,0,-4397.293546527164
53,0,2,2,91,94,0.8,0.5,91,0,1,-4400.7061428115785
53,0,2,3,91,92,0.8,0.2,91,0,1,-4406.214745393554
53,0,2,4,91,94,0.8,0.5,94,1,1,-4412.259884227994
53,0,2,5,93,95,0.6500000000000001,0.35000000000000003,95,1,1,-4416.199432461194
53,0,2,6,92,95,0.2,0.35000000000000003,95,1,0,-4423.4300889115175
53,0,2,7,92,94,0.2,0.5,94,1,0,-4430.879736524926
53,0,2,8,93,94,0.6500000000000001,0.5,93,0,1,-4435.628433786497
53,0,2,9,91,95,0.8,0.35000000000000003,91,0,1,-4441.187829048216
53,0,2,10,93,94,0.6500000000000001,0.5,93,0,1,-4446.917074735577
53,0,2,11,91,93,0.8,0.6500000000000001,93,1,0,-4454.114197271242
53,0,2,12,93,95,0.6500000000000001,0.35000000000000003,95,1,0,-4458.044297609158
53,0,2,13,91,95,0.8,0.35000000000000003,91,0,1,-4460.835781922354
53,0,2,14,92,94,0.2,0.5,92,0,0,-4468.419329676317
53,0,2,15,93,95,0.6500000000000001,0.35000000000000003,93,0,0,-4474.381201172583
53,0,2,16,93,95,0.6500000000000001,0.35000000000000003,95,1,1,-4480.70458578868
53,0,2,17,91,93,0.8,0.6500000000000001,91,0,0,-4483.048145388581
53,0,2,18,91,93,0.8,0.6500000000000001,91,0,1,-4488.745222712876
53,0,2,19,91,95,0.8,0.35000000000000003,95,1,0,-4494.303108364116
53,0,2,20,91,93,0.8,0.6500000000000001,93,1,1,-4500.967195135287
53,0,2,21,92,93,0.2,0.6500000000000001,93,1,0,-4506.276984045976
53,0,2,22,94,95,0.5,0.35000000000000003,95,1,1,-4510.5359217829355
53,0,3,0,97,99,0.35000000000000003,0.6500000000000001,97,0,0,-4539.950381387424
53,0,3,1,99,101,0.6500000000000001,0.8,101,1,1,-4545.952535760381
53,0,3,2,99,101,0.6500000000000001,0.8,101,1,1,-4550.861673102384
53,0,3,3,99,101,0.6500000000000001,0.8,101,1,1,-4556.776653022766
53,0,3,4,97,101,0.35000000000000003,0.8,101,1,0,-4561.458217875742
53,0,3,5,97,99,0.35000000000000003,0.6500000000000001,97,0,0,-4566.374085857204
53,0,3,6,99,101,0.6500000000000001,0.8,101,1,1,-4571.383642783629
53,0,3,7,99,101,0.6500000000000001,0.8,101,1,1,-4575.44168085159
53,0,3,8,99,101,0.6500000000000001,0.8,101,1,1,-4581.2421691273985
53,0,3,9,99,101,0.6500000000000001,0.8,101,1,1,-4583.344005223325
53,0,3,10,97,101,0.35000000000000003,0.8,101,1,1,-4590.581812432516
53,0,3,11,99,101,0.6500000000000001,0.8,101,1,1,-4595.723478503237
53,0,3,12,97,99,0.35000000000000003,0.6500000000000001,97,0,0,-4596.154070330119
53,0,3,13,97,99,0.35000000000000003,0.6500000000000001,99,1,0,-4606.903103503024
53,0,3,14,97,99,0.35000000000000003,0.6500000000000001,97,0,0,-4611.274946836129
53,0,3,15,98,100,0.2,0.5,98,0,1,-4613.484888832339
53,0,3,16,99,101,0.6500000000000001,0.8,101,1,1,-4620.344753973761
53,0,3,17,97,99,0.35000000000000003,0.6500000000000001,97,0,0,-4624.208826863166
53,0,3,18,99,100,0.6500000000000001,0.5,100,1,1,-4629.393341517821
53,0,3,19,100,101,0.5,0.8,100,0,1,-4634.419946230767
53,0,3,20,98,99,0.2,0.6500000000000001,98,0,0,-4637.663249053716
53,0,3,21,97,101,0.35000000000000003,0.8,101,1,1,-4643.156142344296
53,0,4,0,104,106,0.55,0.45,106,1,1,-4671.387014083936
53,0,4,1,103,104,0.5,0.55,104,1,1,-4674.958235358607
53,0,4,2,104,106,0.55,0.45,104,0,1,-4678.934903425621
53,0,4,3,103,104,0.5,0.55,104,1,0,-4684.86534797523
53,0,4,4,105,107,0.2,0.6,107,1,1,-4687.321199492909
53,0,4,5,103,107,0.5,0.6,103,0,1,-4694.200993677761
53,0,4,6,103,106,0.5,0.45,103,0,1,-4698.538930122189
53,0,4,7,105,106,0.2,0.45,105,0,0,-4704.169366238536
53,0,4,8,105,106,0.2,0.45,105,0,0,-4707.959429585132
53,0,4,9,103,104,0.5,0.55,104,1,1,-4712.649229230305
53,0,4,10,104,105,0.55,0.2,104,0,1,-4718.826206844733
53,0,4,11,104,106,0.55,0.45,104,0,1,-4723.468505048909
53,0,4,12,104,106,0.55,0.45,104,0,1,-4726.678677711288
53,0,4,13,104,106,0.55,0.45,104,0,0,-4732.215327608292
53,0,4,14,103,107,0.5,0.6,107,1,1,-4738.056693908167
53,0,4,15,104,105,0.55,0.2,105,1,0,-4741.3950328995215
53,0,4,16,106,107,0.45,0.6,106,0,0,-4748.712497961803
53,0,4,17,105,106,0.2,0.45,106,1,0,-4751.739958954586
53,1,0,0,171,173,0.5,0.8,173,1,1,-5031.880954206772
53,1,0,1,170,171,0.6500000000000001,0.5,171,1,0,-5036.439862660761
53,1,0,2,171,173,0.5,0.8,173,1,1,-5041.3650499123205
53,1,0,3,170,171,0.6500000000000001,0.5,170,0,1,-5047.1466105850595
53,1,0,4,170,171,0.6500000000000001,0.5,170,0,1,-5050.732903003953
53,1,0,5,171,173,0.5,0.8,173,1,1,-5054.618399639539
53,1,0,6,171,173,0.5,0.8,173,1,1,-5059.536784400289
53,1,0,7,170,173,0.6500000000000001,0.8,173,1,1,-5063.561013230876
53,1,0,8,170,173,0.6500000000000001,0.8,173,1,1,-5067.464275444901
53,1,0,9,171,173,0.5,0.8,173,1,1,-5071.572509161838
53,1,0,10,171,173,0.5,0.8,173,1,1,-5075.415443951678
53,1,0,11,171,173,0.5,0.8,173,1,1,-5079.5789985244855
53,1,0,12,170,173,0.6500000000000001,0.8,173,1,1,-5083.52260130872
53,1,0,13,171,173,0.5,0.8,173,1,1,-5087.459435722492
53,1,0,14,169,172,0.35000000000000003,0.2,172,1,0,-5089.284496983341
53,1,0,15,169,172,0.35000000000000003,0.2,169,0,0,-5097.125154905942
53,1,0,16,169,172,0.35000000000000003,0.2,169,0,0,-5099.619083883059
53,1,0,17,172,173,0.2,0.8,172,0,1,-5106.978798921584
53,1,0,18,169,170,0.35000000000000003,0.6500000000000001,170,1,1,-5110.124461614027
53,1,1,0,175,177,0.55,0.5,177,1,1,-5138.870103384277
53,1,1,1,175,179,0.55,0.6,175,0,1,-5142.135834999454
53,1,1,2,175,177,0.55,0.5,175,0,1,-5147.828632379073
53,1,1,3,175,179,0.55,0.6,179,1,1,-5152.629455773155
53,1,1,4,175,177,0.55,0.5,175,0,0,-5157.740030605537
53,1,1,5,177,179,0.5,0.6,177,0,0,-5163.317298229798
53,1,1,6,177,179,0.5,0.6,177,0,0,-5165.755504230292
53,1,1,7,175,177,0.55,0.5,177,1,0,-5171.431264735548
53,1,1,8,175,179,0.55,0.6,179,1,0,-5176.238585030968
53,1,1,9,175,177,0.55,0.5,175,0,0,-5180.97243173762
53,1,1,10,175,177,0.55,0.5,175,0,1,-5185.045220549521
53,1,1,11,177,179,0.5,0.6,179,1,0,-5189.2536941193475
53,1,1,12,175,177,0.55,0.5,175,0,1,-5197.0154476182015
53,1,1,13,176,178,0.2,0.45,178,1,0,-5199.366053970435
53,1,1,14,175,178,0.55,0.45,175,0,1,-5206.217632784192
53,1,1,15,177,179,0.5,0.6,179,1,0,-5209.748143250768
53,1,1,16,176,177,0.2,0.5,177,1,0,-5214.336031007545
53,1,1,17,176,177,0.2,0.5,176,0,0,-5220.075158395961
53,1,2,0,181,182,0.45,0.5,181,0,0,-5248.013463096197
53,1,2,1,182,185,0.5,0.55,182,0,1,-5252.984515759882
53,1,2,2,181,185,0.45,0.55,185,1,1,-5256.995773401884
53,1,2,3,181,185,0.45,0.55,185,1,0,-5260.6137432360365
53,1,2,4,181,182,0.45,0.5,182,1,1,-5263.816619211309
53,1,2,5,182,185,0.5,0.55,185,1,0,-5268.557451569021
53,1,2,6,182,185,0.5,0.55,182,0,1,-5274.088249520541
53,1,2,7,182,185,0.5,0.55,182,0,0,-5278.576950766919
53,1,2,8,181,182,0.45,0.5,181,0,1,-5282.596374559899
53,1,2,9,183,184,0.6,0.2,184,1,0,-5286.825333758807
53,1,2,10,181,185,0.45,0.55,185,1,1,-5292.302095377891
53,1,2,11,181,182,0.45,0.5,182,1,0,-5296.553240469749
53,1,2,12,181,182,0.45,0.5,182,1,1,-5299.92863782291
53,1,2,13,181,182,0.45,0.5,182,1,1,-5306.377192035522
53,1,2,14,182,185,0.5,0.55,182,0,1,-5310.1667538289585
53,1,2,15,182,184,0.5,0.2,182,0,1,-5314.459891688692
53,1,2,16,181,183,0.45,0.6,183,1,0,-5317.022846519198
53,1,2,17,182,183,0.5,0.6,182,0,1,-5324.991893789473
53,1,2,18,181,182,0.45,0.5,182,1,1,-5329.238989438087
53,1,2,19,182,184,0.5,0.2,182,0,0,-5333.529095633535
53,1,2,20,183,184,0.6,0.2,184,1,0,-5337.293254581946
53,1,2,21,184,185,0.2,0.55,185,1,0,-5341.395535300597
53,1,2,22,183,185,0.6,0.55,183,0,1,-5347.298957651659
53,1,3,0,187,189,0.6500000000000001,0.8,189,1,1,-5374.146139142071
53,1,3,1,187,190,0.6500000000000001,0.35000000000000003,190,1,1,-5379.297469149655
53,1,3,2,187,189,0.6500000000000001,0.8,189,1,1,-5384.621989943678
53,1,3,3,189,190,0.8,0.35000000000000003,189,0,0,-5391.029398433649
53,1,3,4,189,190,0.8,0.35000000000000003,189,0,1,-5393.828870635105
53,1,3,5,187,189,0.6500000000000001,0.8,189,1,1,-5399.981093424377
53,1,3,6,187,190,0.6500000000000001,0.35000000000000003,190,1,0,-5404.002600638039
53,1,3,7,189,190,0.8,0.35000000000000003,189,0,0,-5410.605464090475
53,1,3,8,188,191,0.5,0.2,188,0,0,-5415.011134437623
53,1,3,9,188,190,0.5,0.35000000000000003,190,1,1,-5419.704108961832
53,1,3,10,189,190,0.8,0.35000000000000003,190,1,0,-5424.06748986372
53,1,3,11,189,190,0.8,0.35000000000000003,190,1,0,-5428.109156227361
53,1,3,12,189,190,0.8,0.35000000000000003,189,0,1,-5433.044521804266
53,1,3,13,189,190,0.8,0.35000000000000003,189,0,1,-5436.69896964432
53,1,3,14,188,190,0.5,0.35000000000000003,188,0,1,-5441.006161683684
53,1,3,15,187,188,0.6500000000000001,0.5,187,0,1,-5446.581478209822
53,1,3,16,188,191,0.5,0.2,191,1,1,-5451.8495602132225
53,1,3,17,188,191,0.5,0.2,191,1,0,-5456.795298460641
53,1,3,18,189,190,0.8,0.35000000000000003,189,0,1,-5459.9528474574045
53,1,3,19,188,189,0.5,0.8,189,1,1,-5464.372047742378
53,1,3,20,187,191,0.6500000000000001,0.2,191,1,0,-5469.11229307923
53,1,4,0,194,197,0.6500000000000001,0.8,197,1,1,-5498.859354166623
53,1,4,1,193,194,0.5,0.6500000000000001,193,0,0,-5503.8044877972725
53,1,4,2,193,197,0.5,0.8,197,1,1,-5508.884636018977
53,1,4,3,193,197,0.5,0.8,197,1,0,-5513.923147520562
53,1,4,4,193,194,0.5,0.6500000000000001,193,0,0,-5516.905603585334
53,1,4,5,194,197,0.6500000000000001,0.8,194,0,1,-5523.734103849092
53,1,4,6,193,197,0.5,0.8,197,1,1,-5528.511470849617
53,1,4,7,193,197,0.5,0.8,197,1,1,-5531.944030175075
53,1,4,8,194,197,0.6500000000000001,0.8,197,1,1,-5536.32666637872
53,1,4,9,194,197,0.6500000000000001,0.8,197,1,1,-5541.574599797013
53,1,4,10,195,196,0.2,0.35000000000000003,195,0,0,-5543.999130756732
53,1,4,11,195,197,0.2,0.8,197,1,1,-5550.751948151196
53,1,4,12,195,197,0.2,0.8,197,1,1,-5555.0782700414675
53,1,4,13,196,197,0.35000000000000003,0.8,197,1,0,-5559.723556476907
53,1,4,14,194,195,0.6500000000000001,0.2,195,1,1,-5563.680218137502
53,1,4,15,194,196,0.6500000000000001,0.35000000000000003,196,1,0,-5567.656284252901
53,1,4,16,193,195,0.5,0.2,195,1,1,-5575.5531816830335
53,1,4,17,195,196,0.2,0.35000000000000003,195,0,0,-5580.154875256217
53,1,4,18,196,197,0.35000000000000003,0.8,196,0,0,-5584.328630735485
53,1,4,19,194,196,0.6500000000000001,0.35000000000000003,196,1,0,-5587.906504794492
53,1,4,20,193,196,0.5,0.35000000000000003,193,0,0,-5592.295726126225
53,1,4,21,196,197,0.35000000000000003,0.8,197,1,1,-5597.808814733413
