sub_id,session,block,trial,left_stim_id,right_stim_id,left_pwin,right_pwin,chosen_stim_id,choice_side,reward,rt,QL,QR,Q_chosen,UncL,UncR,dQ,dUnc
41,0,0,0,79,82,0.8,0.5,79,0,1,-14817.615443171382,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
41,0,0,1,79,81,0.8,0.35,79,0,1,-14823.698252786287,0.6666666666666666,0.5,0.6666666666666666,0.05555555555555555,0.08333333333333333,0.16666666666666663,-0.027777777777777776
41,0,0,2,78,82,0.2,0.5,78,0,0,-14827.946019141222,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
41,0,0,3,79,82,0.8,0.5,79,0,1,-14833.30801031878,0.75,0.5,0.75,0.0375,0.08333333333333333,0.25,-0.04583333333333333
41,0,0,4,78,82,0.2,0.5,78,0,0,-14837.583228623613,0.3333333333333333,0.5,0.3333333333333333,0.05555555555555555,0.08333333333333333,-0.16666666666666669,-0.027777777777777776
41,0,0,5,80,81,0.6500000000000001,0.35,81,1,0,-14843.018606918376,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0
41,0,0,6,78,80,0.2,0.6500000000000001,80,1,0,-14847.161702467254,0.25,0.5,0.5,0.0375,0.08333333333333333,-0.25,-0.04583333333333333
41,0,0,7,79,82,0.8,0.5,82,1,1,-14851.61851210556,0.8,0.5,0.5,0.02666666666666667,0.08333333333333333,0.30000000000000004,-0.05666666666666666
41,0,0,8,78,79,0.2,0.8,79,1,1,-14855.19231669326,0.25,0.8,0.8,0.0375,0.02666666666666667,-0.55,0.01083333333333333
41,0,0,9,78,80,0.2,0.6500000000000001,80,1,0,-14859.556096364988,0.25,0.3333333333333333,0.3333333333333333,0.0375,0.05555555555555555,-0.08333333333333331,-0.018055555555555554
41,0,0,10,78,80,0.2,0.6500000000000001,78,0,1,-14863.88769996802,0.25,0.25,0.25,0.0375,0.0375,0.0,0.0
41,0,0,11,80,81,0.6500000000000001,0.35,80,0,1,-14868.11001396582,0.25,0.3333333333333333,0.25,0.0375,0.05555555555555555,-0.08333333333333331,-0.018055555555555554
41,0,0,12,78,82,0.2,0.5,78,0,0,-14872.552180377075,0.4,0.6666666666666666,0.4,0.04,0.05555555555555555,-0.2666666666666666,-0.015555555555555552
41,0,0,13,80,81,0.6500000000000001,0.35,81,1,0,-14877.728410090614,0.4,0.3333333333333333,0.3333333333333333,0.04,0.05555555555555555,0.06666666666666671,-0.015555555555555552
41,0,0,14,79,80,0.8,0.6500000000000001,80,1,1,-14881.535281197826,0.8333333333333334,0.4,0.4,0.01984126984126984,0.04,0.43333333333333335,-0.02015873015873016
41,0,0,15,78,81,0.2,0.35,81,1,0,-14885.949213467287,0.3333333333333333,0.25,0.25,0.031746031746031744,0.0375,0.08333333333333331,-0.005753968253968254
41,0,0,16,79,81,0.8,0.35,79,0,0,-14891.621493539473,0.8333333333333334,0.2,0.8333333333333334,0.01984126984126984,0.02666666666666667,0.6333333333333333,-0.006825396825396828
41,0,0,17,78,82,0.2,0.5,82,1,1,-14895.26967849752,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.031746031746031744,0.05555555555555555,-0.3333333333333333,-0.023809523809523808
41,0,0,18,78,80,0.2,0.6500000000000001,80,1,1,-14898.924514126127,0.3333333333333333,0.5,0.5,0.031746031746031744,0.03571428571428571,-0.16666666666666669,-0.003968253968253968
